ticker,sector
GLD,Gold
IYR,Real Estate
XLB,Basic Materials
XLE,Energy
XLF,Financial Sector
XLI,Industrial Manufacturing
XLK,Technology
XLP,Consumer Staples
XLU,Utilities
XLV,Healthcare
XLY,Consumer Discretionary
